,team,period,outcome,x0,y0,x1,y1,possession,id_match
30408,Egypt,2,Complete,66.0,35.0,105.0,3.0,136-Egypt,32
30409,Egypt,2,Incomplete,99.0,15.0,114.0,46.0,136-Egypt,32
30410,Saudi Arabia,2,Complete,54.0,9.0,66.0,5.0,136-Saudi Arabia,32
30411,Egypt,2,Complete,22.0,50.0,19.0,53.0,136-Egypt,32
30412,Egypt,2,Complete,19.0,53.0,28.0,51.0,136-Egypt,32
30413,Egypt,2,Complete,29.0,50.0,53.0,40.0,136-Egypt,32
30414,Egypt,2,Complete,55.0,41.0,76.0,46.0,136-Egypt,32
30415,Egypt,2,Incomplete,119.0,2.0,112.0,36.0,137-Egypt,32
30416,Saudi Arabia,2,Incomplete,21.0,32.0,39.0,28.0,137-Saudi Arabia,32
30417,Egypt,2,Complete,82.0,53.0,82.0,45.0,137-Egypt,32
30418,Egypt,2,Complete,82.0,42.0,106.0,3.0,137-Egypt,32
30419,Egypt,2,Complete,113.0,18.0,100.0,31.0,137-Egypt,32
30420,Egypt,2,Complete,99.0,31.0,91.0,35.0,137-Egypt,32
30421,Egypt,2,Complete,89.0,41.0,102.0,52.0,137-Egypt,32
30422,Egypt,2,Complete,112.0,62.0,105.0,54.0,137-Egypt,32
30423,Egypt,2,Incomplete,105.0,55.0,116.0,32.0,137-Egypt,32
30424,Egypt,2,Complete,102.0,11.0,107.0,5.0,138-Egypt,32
30425,Egypt,2,Incomplete,106.0,5.0,106.0,8.0,138-Egypt,32
30426,Saudi Arabia,2,Incomplete,17.0,47.0,63.0,79.0,138-Saudi Arabia,32
30427,Saudi Arabia,2,Complete,65.0,80.0,66.0,71.0,139-Saudi Arabia,32
30428,Saudi Arabia,2,Complete,93.0,67.0,100.0,78.0,139-Saudi Arabia,32
30429,Saudi Arabia,2,Incomplete,103.0,73.0,115.0,39.0,139-Saudi Arabia,32
30430,Egypt,2,Complete,15.0,23.0,14.0,32.0,139-Egypt,32
30431,Egypt,2,Incomplete,14.0,31.0,64.0,26.0,139-Egypt,32
30432,Saudi Arabia,2,Complete,58.0,55.0,70.0,28.0,139-Saudi Arabia,32
30433,Saudi Arabia,2,Complete,75.0,25.0,81.0,10.0,139-Saudi Arabia,32
30434,Saudi Arabia,2,Complete,81.0,10.0,80.0,22.0,139-Saudi Arabia,32
30435,Saudi Arabia,2,Complete,81.0,26.0,77.0,37.0,139-Saudi Arabia,32
30436,Saudi Arabia,2,Complete,83.0,34.0,93.0,32.0,139-Saudi Arabia,32
30437,Saudi Arabia,2,Complete,93.0,32.0,86.0,37.0,139-Saudi Arabia,32
30438,Saudi Arabia,2,Complete,108.0,80.0,86.0,68.0,141-Saudi Arabia,32
30439,Saudi Arabia,2,Complete,87.0,61.0,115.0,29.0,141-Saudi Arabia,32
30440,Egypt,2,Complete,13.0,54.0,26.0,51.0,143-Egypt,32
30441,Egypt,2,Complete,27.0,50.0,33.0,71.0,144-Egypt,32
30442,Egypt,2,Incomplete,44.0,78.0,76.0,63.0,145-Egypt,32
30443,Saudi Arabia,2,Complete,45.0,18.0,52.0,5.0,146-Saudi Arabia,32
30444,Saudi Arabia,2,Complete,51.0,5.0,50.0,13.0,146-Saudi Arabia,32
30445,Saudi Arabia,2,Complete,53.0,15.0,53.0,19.0,146-Saudi Arabia,32
30446,Saudi Arabia,2,Complete,59.0,17.0,63.0,25.0,146-Saudi Arabia,32
30447,Saudi Arabia,2,Complete,69.0,44.0,68.0,54.0,146-Saudi Arabia,32
