,team,period,id_match,possession,xg
1471,Switzerland,2,56,122-Switzerland,0.015223796500000001
1472,Switzerland,2,56,125-Switzerland,0.019838547
1473,Switzerland,2,56,127-Switzerland,0.016685603
1474,Switzerland,2,56,138-Switzerland,0.015118249
1475,Switzerland,2,56,138-Switzerland,0.038877215
1476,Switzerland,2,56,139-Switzerland,0.04678116
1477,Switzerland,2,56,150-Switzerland,0.025724515
1478,Switzerland,2,56,150-Switzerland,0.05273076
1479,Switzerland,2,56,159-Switzerland,0.053710934
1480,Sweden,2,56,164-Sweden,0.09292428
1481,Uruguay,1,57,11-Uruguay,0.022234399000000002
1482,France,1,57,13-France,0.014286653000000002
1483,France,1,57,19-France,0.0388569
1484,France,1,57,22-France,0.033427265000000005
1485,Uruguay,1,57,26-Uruguay,0.017136715
1486,France,1,57,28-France,0.16058815
1487,France,1,57,35-France,0.009776755
1488,Uruguay,1,57,66-Uruguay,0.07560027
1489,France,1,57,76-France,0.043716896000000005
1490,Uruguay,1,57,78-Uruguay,0.011719059
1491,Uruguay,1,57,90-Uruguay,0.030542174000000002
1492,Uruguay,1,57,90-Uruguay,0.22024369
1493,France,2,57,112-France,0.009968631
1494,Uruguay,2,57,120-Uruguay,0.02897384
1495,Uruguay,2,57,126-Uruguay,0.016463226
1496,France,2,57,131-France,0.021203276
1497,Uruguay,2,57,134-Uruguay,0.016461820000000002
1498,Uruguay,2,57,134-Uruguay,0.028004367000000002
1499,France,2,57,144-France,0.07750860600000001
1500,France,2,57,149-France,0.028800627000000002
1501,France,2,57,170-France,0.027558401000000003
1502,Belgium,1,58,4-Belgium,0.01971763
1503,Brazil,1,58,15-Brazil,0.36159334
1504,Belgium,1,58,16-Belgium,0.042406905
1505,Belgium,1,58,16-Belgium,0.0138102425
1506,Brazil,1,58,17-Brazil,0.17151164
1507,Brazil,1,58,18-Brazil,0.21023166000000001
1508,Belgium,1,58,21-Belgium,0.06367598000000001
1509,Brazil,1,58,23-Brazil,0.2528006
1510,Brazil,1,58,31-Brazil,0.051233336000000004
1511,Brazil,1,58,49-Brazil,0.019016622
1512,Brazil,1,58,59-Brazil,0.06655381
1513,Brazil,1,58,59-Brazil,0.014629562
1514,Belgium,1,58,61-Belgium,0.038587574
1515,Brazil,1,58,65-Brazil,0.084124245
1516,Brazil,1,58,69-Brazil,0.0186501
1517,Belgium,1,58,72-Belgium,0.024194239000000003
1518,Belgium,1,58,73-Belgium,0.026964227
1519,Brazil,2,58,95-Brazil,0.027100226
1520,Brazil,2,58,98-Brazil,0.09042175
1521,Belgium,2,58,114-Belgium,0.10590879600000001
1522,Brazil,2,58,115-Brazil,0.022356467
1523,Brazil,2,58,119-Brazil,0.03897969
1524,Brazil,2,58,130-Brazil,0.014660499
1525,Brazil,2,58,133-Brazil,0.018556835
1526,Brazil,2,58,149-Brazil,0.023014523000000002
1527,Brazil,2,58,149-Brazil,0.2867541
1528,Brazil,2,58,152-Brazil,0.24401957000000002
1529,Brazil,2,58,155-Brazil,0.06907036
1530,Brazil,2,58,160-Brazil,0.12589678
1531,Brazil,2,58,163-Brazil,0.08818953
1532,Brazil,2,58,176-Brazil,0.03822777
1533,Brazil,2,58,179-Brazil,0.05033908
1534,Brazil,2,58,180-Brazil,0.12785628
1535,Sweden,1,59,29-Sweden,0.013184253000000002
1536,England,1,59,42-England,0.038979113
1537,England,1,59,62-England,0.029323215000000003
1538,England,1,59,69-England,0.01701937
1539,England,1,59,87-England,0.12916788
1540,Sweden,2,59,92-Sweden,0.035695355000000005
1541,Sweden,2,59,103-Sweden,0.03667413
1542,England,2,59,107-England,0.040737465
1543,England,2,59,112-England,0.015189848
1544,England,2,59,114-England,0.03597678
1545,England,2,59,114-England,0.075022474
1546,Sweden,2,59,118-Sweden,0.14778149999999998
1547,Sweden,2,59,118-Sweden,0.18742979
1548,Sweden,2,59,119-Sweden,0.016422462000000002
1549,England,2,59,127-England,0.09992775
1550,England,2,59,132-England,0.040958703
1551,England,2,59,132-England,0.02359351
1552,Sweden,2,59,135-Sweden,0.17437012000000002
1553,England,2,59,151-England,0.07257323
1554,Sweden,2,59,162-Sweden,0.085483536
1555,Russia,1,60,6-Russia,0.043508399999999996
1556,Russia,1,60,12-Russia,0.036590297
1557,Croatia,1,60,16-Croatia,0.1289406
1558,Croatia,1,60,23-Croatia,0.14648144
1559,Croatia,1,60,31-Croatia,0.056302399999999996
1560,Croatia,1,60,49-Croatia,0.026196495
1561,Russia,1,60,57-Russia,0.04937909
1562,Croatia,1,60,58-Croatia,0.019988477
1563,Croatia,1,60,61-Croatia,0.09356984
1564,Russia,1,60,66-Russia,0.03965267
1565,Russia,1,60,69-Russia,0.08771148000000001
1566,Croatia,1,60,70-Croatia,0.18024585
1567,Croatia,2,60,92-Croatia,0.011789992000000001
1568,Croatia,2,60,96-Croatia,0.038591906
